kospi,kosdaq,sp500,nasdaq,exchangerate,bok,price_gold,price_btc
2175.17,674.02,3257.85,9092.19,1157.35,1.25,56860.0,8046000.0
2176.46,669.93,3234.85,9020.77,1164.95,1.25,57850.0,8472000.0
2155.07,655.31,3246.28,9071.47,1166.94,1.25,59420.0,8855000.0
2175.54,663.44,3237.18,9068.58,1167.3,1.25,58750.0,9391000.0
2151.31,640.94,3253.05,9129.24,1162.25,1.25,60010.0,9096000.0
2186.45,666.09,3274.7,9203.43,1158.72,1.25,58120.0,8946000.0
2206.39,673.03,3265.35,9178.86,1157.97,1.25,57930.0,9228000.0
2229.26,679.22,3288.13,9273.93,1153.95,1.25,57940.0,9175000.0
2238.88,678.71,3283.15,9251.33,1157.2,1.25,57330.0,9707000.0
2230.98,679.16,3289.29,9258.69,1157.91,1.25,57800.0,9732000.0
2248.05,686.52,3316.81,9357.13,1159.73,1.25,57940.0,9785000.0
2250.57,688.41,3329.62,9388.94,1160.44,1.25,58000.0,10000000.0
2239.69,676.52,3320.79,9370.81,1169.01,1.25,58620.0,9963000.0
2267.25,688.25,3321.75,9383.77,1164.76,1.25,58140.0,9927000.0
2246.13,685.57,3325.54,9402.48,1168.54,1.25,58580.0,9753000.0
2176.72,664.7,3276.24,9269.68,1175.71,1.25,59700.0,10573000.0
2185.28,670.18,3273.4,9275.16,1178.68,1.25,59220.0,10675000.0
2148.0,656.39,3283.66,9298.93,1187.64,1.25,59830.0,10776000.0
2119.01,642.48,3225.52,9150.94,1194.97,1.25,59910.0,10780000.0
2118.88,646.85,3248.92,9273.4,1189.79,1.25,60200.0,10765000.0
2157.9,661.24,3297.59,9467.97,1182.9,1.25,59820.0,10636000.0
2165.63,661.32,3334.69,9508.68,1183.4,1.25,59510.0,11050000.0
2227.94,672.69,3345.78,9572.15,1185.28,1.25,59200.0,11271000.0
2211.95,672.63,3327.71,9520.51,1191.39,1.25,59730.0,11500000.0
2201.07,676.07,3352.09,9628.39,1187.17,1.25,59680.0,11527000.0
2223.12,682.34,3357.75,9638.94,1181.25,1.25,59570.0,11783000.0
2238.38,686.59,3379.45,9725.96,1178.51,1.25,59230.0,11805000.0
2232.96,687.61,3373.94,9711.97,1183.58,1.25,59680.0,11798000.0
2243.59,688.91,3380.16,9731.18,1182.46,1.25,59630.0,11861000.0
2208.88,682.92,3370.29,9732.74,1190.95,1.25,60350.0,11823000.0
2210.34,684.78,3386.15,9817.18,1192.5,1.25,60910.0,11425000.0
2195.5,681.66,3373.23,9750.97,1204.71,1.25,61500.0,11527000.0
2162.84,667.99,3337.75,9576.59,1206.91,1.25,62860.0,11499000.0
2079.04,639.29,3225.89,9221.28,1219.08,1.25,64800.0,11624000.0
2103.61,656.95,3128.21,8965.61,1215.54,1.25,63550.0,11327000.0
2076.77,654.63,3116.39,8980.77,1212.31,1.25,63700.0,10729000.0
2054.89,638.17,2978.76,8566.48,1212.63,1.25,64000.0,10694000.0
1987.01,610.73,2954.22,8567.37,1200.2,1.25,63300.0,10558000.0
2002.51,627.66,3090.23,8952.17,1189.61,1.25,61520.0,10682000.0
2014.15,626.82,3003.37,8684.09,1180.5,1.25,61390.0,10509000.0
2059.33,641.73,3130.12,9018.09,1184.73,1.25,62390.0,10492000.0
2085.26,650.19,3023.94,8738.59,1188.72,1.25,62370.0,10783000.0
2040.22,642.72,2972.37,8575.62,1188.7,1.25,64010.0,10854000.0
1954.77,614.6,2746.56,7950.68,1200.88,1.25,64480.0,9729000.0
1962.93,619.97,2882.23,8344.25,1185.6,1.25,63500.0,9547000.0
1908.27,595.61,2741.38,7952.05,1192.57,1.25,63810.0,9514000.0
1834.33,563.49,2480.64,7201.8,1210.71,1.25,63410.0,6349000.0
1771.44,524.0,2711.02,7874.88,1211.28,1.25,62240.0,7266000.0
1714.86,504.51,2386.13,6904.59,1232.37,1.25,60750.0,6382000.0
1672.44,514.73,2529.19,7334.78,1239.72,0.75,59610.0,6778000.0
1591.2,485.14,2398.1,6989.84,1256.46,0.75,60480.0,6745000.0
1457.64,428.35,2409.39,7150.58,1257.86,0.75,60720.0,7673000.0
1566.15,467.75,2304.92,6879.52,1254.45,0.75,60080.0,7784000.0
1482.46,443.76,2237.4,6860.67,1272.5,0.75,60960.0,8049000.0
1609.97,480.4,2447.33,7417.86,1233.21,0.75,63430.0,8360000.0
1704.76,505.68,2475.56,7384.3,1232.0,0.75,64340.0,8272000.0
1686.24,516.61,2630.07,7797.54,1212.9,0.75,63770.0,8272000.0
1717.73,522.83,2541.47,7502.38,1212.23,0.75,63840.0,7885000.0
1717.12,542.11,2626.65,7774.15,1224.21,0.75,64190.0,7791000.0
1754.64,569.07,2584.59,7700.1,1218.3,0.75,63840.0,7795000.0
1685.46,551.84,2470.5,7360.58,1236.2,0.75,63290.0,8065000.0
1724.86,567.7,2526.9,7487.31,1227.35,0.75,62660.0,8172000.0
1725.44,573.01,2488.65,7373.08,1235.61,0.75,63500.0,8151000.0
1791.88,597.21,2663.68,7913.24,1224.6,0.75,63780.0,8790000.0
1823.6,606.9,2659.41,7887.26,1214.93,0.75,64850.0,8649000.0
1807.14,607.37,2749.98,8090.9,1215.76,0.75,64450.0,8828000.0
1836.21,615.95,2789.82,8153.57,1210.58,0.75,64450.0,8811000.0
1825.76,596.71,2761.63,8192.42,1215.46,0.75,66150.0,8388000.0
1857.08,610.29,2846.06,8515.74,1212.46,0.75,67740.0,8378000.0
1857.07,623.43,2799.55,8532.36,1228.94,0.75,68220.0,8560000.0
1914.53,634.79,2874.56,8650.14,1216.13,0.75,66500.0,8526000.0
1898.36,637.82,2823.16,8560.73,1220.58,0.75,66080.0,8388000.0
1879.38,628.77,2736.56,8263.23,1232.56,0.75,67210.0,8407000.0
1896.15,635.16,2799.31,8495.38,1233.55,0.75,67090.0,8642000.0
1914.73,643.79,2797.8,8494.75,1233.04,0.75,68080.0,9050000.0
1889.01,632.96,2836.74,8634.52,1230.53,0.75,68860.0,9099000.0
1922.77,646.86,2878.48,8730.16,1222.05,0.75,68530.0,9479000.0
1934.09,644.93,2863.39,8607.73,1221.31,0.75,67120.0,9415000.0
1947.56,645.18,2939.51,8914.71,1210.99,0.75,67450.0,10538000.0
1895.37,641.91,2842.74,8710.72,1224.14,0.75,67490.0,10837000.0
1928.76,658.4,2848.42,8854.39,1228.55,0.75,67300.0,11271000.0
1928.61,668.17,2881.19,8979.66,1219.61,0.75,66790.0,12010000.0
1945.82,682.3,2929.8,9121.32,1219.65,0.75,67420.0,11878000.0
1935.4,685.04,2930.32,9192.34,1222.91,0.75,67200.0,10437000.0
1922.17,684.21,2870.12,9002.55,1226.64,0.75,67280.0,10675000.0
1940.42,691.53,2820.0,8863.17,1227.37,0.75,67380.0,11262000.0
1924.96,690.57,2852.5,8943.72,1227.03,0.75,67780.0,11784000.0
1927.28,691.93,2863.7,9014.56,1232.69,0.75,68650.0,11322000.0
1937.11,690.85,2953.91,9234.83,1225.13,0.75,69840.0,11687000.0
1980.61,696.36,2922.94,9185.1,1225.04,0.75,68650.0,11728000.0
1989.64,708.76,2971.61,9375.78,1227.26,0.75,69340.0,11523000.0
1998.31,716.02,2948.51,9284.88,1233.19,0.75,69200.0,11095000.0
1970.13,708.58,2955.45,9324.59,1240.59,0.75,69190.0,11122000.0
2029.78,729.11,2991.77,9340.22,1230.9,0.75,69310.0,10737000.0
2031.2,724.59,3036.13,9412.36,1238.19,0.75,68170.0,11150000.0
2028.54,708.75,3029.73,9368.99,1237.97,0.5,68800.0,11568000.0
2029.6,713.68,3044.31,9489.87,1231.49,0.5,68790.0,11405000.0
2065.08,735.72,3055.73,9552.05,1222.92,0.5,68990.0,12072000.0
2087.19,743.58,3080.82,9608.38,1219.62,0.5,68760.0,11525000.0
2147.0,737.66,3122.87,9682.91,1215.79,0.5,67780.0,11650000.0
2151.18,742.37,3112.35,9615.81,1216.39,0.5,67000.0,11785000.0
2181.87,749.31,3193.93,9814.08,1202.02,0.5,66840.0,11603000.0
2184.29,753.04,3232.39,9924.75,1195.35,0.5,65980.0,11680000.0
2188.92,753.82,3207.18,9953.75,1198.4,0.5,65830.0,11683000.0
2195.69,758.62,3190.14,10020.35,1190.67,0.5,66250.0,11738000.0
